EMPREENDIMENTO,Responsável pela execução,Geral,Assunto,Status da Contratação,?!,Situação,Status Andamento,Início,Previsão de entrega,Entrega Efetiva,Observações e Rotinas
Villa Alta,Margarete,Documentação,Contrato/ Aditivo,Contratado,, Finalizado,Finalizado,,,,
Villa Alta,Margarete/ Carol,Documentação,Transferência de Escritura/ Registro RI,Contratado,,"18/05/26 - Encaminhada minuta para terrenistas
15/05/26 - Aprovada Minuta de Transferência pela LV
15/05/26 - Recebida documentação de proprietários",Em andamento,,,,
Villa Alta,Margarete / Escala topografia,Documentação,Retificação/Unificação,Contratado,,20.05.26: Mapeamento entregue. Em andamento no cartório,Em andamento,,,,
Villa Alta,Locates,Marketing,Pesquisa de Mercado,Contratado,,Finalizado,Finalizado,,,,
Villa Alta,Guto - LV,Marketing,Vôo de Drone,Contratado,,Finalizado,Finalizado,,,,
Villa Alta,Blu,Marketing,Desenvolvimento de Produto,Contratado,,Finalizado,Finalizado,,,,
Villa Alta,Blu,Marketing,Desenvolvimento de Marca,Contratado,,Finalizado,Finalizado,,,,
Villa Alta,Escala,Documentação,Levantamento Planialtimétrico,Contratado,,Finalizado,Finalizado,,,,
Villa Alta,Barossi,Obra,Percolação e Nível Lençol freático,Contratado,,Finalizado,Finalizado,,,,
Villa Alta,Barossi,Obra,Sondagem,Contratado,,Finalizado,Finalizado,,,,
Villa Alta,Premiere,Processos,Consulta de Viabilidade de Água,Contratado,,Emitida,Finalizado,,,,
Villa Alta,Premiere,Processos,Consulta de Viabilidade de Esgoto,Contratado,,Emitida,Finalizado,,,,
Villa Alta,Premiere,Processos,Consulta de Viabilidade de Energia,Contratado,,Emitida,Finalizado,,,,
Villa Alta,A.S Soluções,Processos,Consulta de Viabilidade de Drenagem,Contratado,,20.05.26: Em análise na SMI,Em andamento,,,,
Villa Alta,A.S Soluções,Processos,Consulta de Viabilidade de Resíduos,Contratado,,Emitida,Finalizado,,,,
Villa Alta,Otus,Gestão,Coordenação e Compatibilização,Contratado,,Em andamento,Em andamento,,,,
Villa Alta,Methafora,Projetos,Projeto - Arquitetônico - Legal,Contratado,,20.05.26: Entrega prevista 15.05.26,Em andamento,,15/05/2026,18/05/2026,
Villa Alta,Methafora,Projetos,Projeto - Arquitetônico - Desenvolvimento,Contratado,,21.05.26: Em andamento,Em andamento,,,,
Villa Alta,Methafora / LV,Processos,Aprovação - Arquitetônico,Contratado,,20.05.26: Protocolo de substituição de projeto realizado,Em análise,20/05/2026,,,
Villa Alta,AO Architects Office,Projetos,Projeto - Interiores -  área comum,Contratado,,21.05.26: Em andamento,Em andamento,,,,
Villa Alta,Guilherme Moki,Projetos,Projeto de Interiores - Comercial,Contratado,,21.05.26: Em andamento,Em andamento,,,,
Villa Alta,JA8 Paisagismo,Projetos,Projeto - Paisagismo,Contratado,,20.05.26: Em andamento - entrega intermediária prevista para 22.05.26,Em andamento,,22/05/2026,,
Villa Alta,Tático,Documentação,Orçamento,Contratado,,20.05.26: Andamento com orçamento paramétrico,Em andamento,,,,
Villa Alta,Tático,Documentação,Cronograma de Obra,Contratado,,20.05.26: em andamento,Em andamento,,,,
Villa Alta,Otus,Documentação,Compatibilização,Contratado,,Em andamento,Em andamento,,,,
Villa Alta,FN Estrutural,Projetos,Projeto - Estrutural,Contratado,,Em andamento,Em andamento,,,,
Villa Alta,FN Estrutural,Projetos,Projeto -  Fundações e Contenções,Contratado,,Em andamento,Em andamento,,,,
Villa Alta,Premiere,Projetos,Projeto - Hidrossanitário,Contratado,,Em andamento,Em andamento,,,,
Villa Alta,Premiere,Processos,Aprovação - Hidrossanitário,Contratado,,21.05.26: Em emissão do projeto legal para protocolo,Não iniciado,,,,
Villa Alta,Premiere,Projetos,Projeto - PPCI,Contratado,,20.05.26: Projeto legal já entregue. Projeto básico em andamento,Em andamento,,,,
Villa Alta,Premiere,Processos,Aprovação - PPCI,Contratado,,20.05.26: Protocolo já realizado,Em análise,,,,
Villa Alta,Premiere,Projetos,Projeto - Elétrica e Telecom,Contratado,,20.05.26: Em andamento,Em andamento,,,,
Villa Alta,Premiere,Ambiental,Aprovação - Elétrica,Contratado,,não iniciada,Não iniciado,,,,
Villa Alta,Premiere,Projetos,Projeto Exaustão e Climatização,Contratado,,20.05.26: Em andamento,Em andamento,,,,
Villa Alta,Premiere,Projetos,Projeto de SPDA,Contratado,,20.05.26: Em andamento,Em andamento,,,,
Villa Alta,Smart Home,Projetos,Projeto - Segurança e Automação,Contratado,,20.05.26: Em andamento,Em andamento,,,,
Villa Alta,Renovar,Projetos,Projeto - Ancoragem,Contratado,,20.05.26: Em andamento,Em andamento,,,,
Villa Alta,Arsenal,Projetos,Consultoria - Elevadores,Contratado,,20.05.26: Em andamento,Em andamento,,29/05/2026,,
Villa Alta,Redin,Projetos,Projeto - Impermeabilização,Contratado,,20.05.26: Em andamento,Em andamento,,,,
